Tom Brady(QB)
LaGarrette Blount(RB)
Julian Edelman(WR)
Martellus Bennett(TE)
Malcom Butler(CB)
Devin McCourty(S)
Dont'a Hightower(ILB)
Logan Ryan(CB)
Alex Smith(QB)
Spencer Ware(RB)
Jeremy Maclin(WR)
Travis Kelce(TE)
Eric Berry(S)
Marcus Peters(CB)
Derrick Johnson(ILB)
Dee Ford(OLB)
Ben Roethlisberger(QB)
Leveon Bell(RB)
Antonio Brown(WR) 
Ladarius Green(TE)
Ryan Shazier(ILB)
Lawrence Timmons(ILB)
James Harrison(OLB)
Mike Mitchell(S)
Brock Osweiler(QB)
Lamar Miller(RB)
DeAndre Hopkins(WR)
CJ Fiedorowicz(TE)
Jadaveon Clowney (DE)
Quintin Demps(S)
Whitney Merclius (OLB)
Benardrick McKinney(ILB)
Connor Cook(QB)
Latavius Murray(RB)
Amari Cooper(WR)
Michael Crabtree(WR)
Khalil Mack(OLB)
Bruce Irvin (OLB)
Reggie Nelson(S)
Malcolm Smith(OLB)
Matt Moore(QB)
Jay Ajayi(RB)
Jarvis Landry(WR)
DeVante Parker(WR)
Ndamukong Suh(DT) 
Reshad Jones (S)
Cameron Wake (DE)
Kiki Alonso(ILB) 
Dak Prescott(QB)
Ezekiel Elliot(RB)
Dez Bryant(WR)
Jason Witten(TE)
Sean Lee(OLB)
Byron Jones(S)
Barry Church(S)
Orlando Scandrick(CB)
Matt Ryan(QB)
Devonta Freeman(RB)
Julio Jones(WR)
Tevin Coleman(RB)
Vic Beasley(OLB)
Keanu Neal(S)
Desmond Trufant(CB) 
Deion Jones(ILB)
Russell Wilson(QB)
Thomas Rawls(RB)
Doug Baldwin(WR)
Jimmy Graham(TE)
Bobby Wagner(ILB)
Kam Chancellor(S)
Richard Sherman(CB)
Michael Bennett(DE)
Aaron Rodgers(QB)
Ty Montgomery(RB)
Jordy Nelson(WR)
Randall Cobb(WR)
Clay Matthews(OLB)
Ha-Ha Clinton Dix(S)
Morgan Burnett(S)
Mike Daniels(DT)
Eli Manning(QB)
Rashad Jennings(RB)
Odell Beckham Jr(WR)
Sterling Shepard(WR)
Landon Collins(S)
Damon Harrison(DT)
Janoris Jenkins(S)
Dominique Rodgers Cromartie(CB)
Matthew Stafford(QB)
Zach Zenner(RB) 
Golden Tate(WR)
Marvin Jones(WR)
Darius Slay(CB)
Ezekiel Ansah(DE)
Tavon Wilson(S)
Glover Quin(S)
